"","X","age_carte_grise","age_vehicule","agepr","cataeu","cs42pr","dip14pr","etat_veh_achat","ident_men","km_autre_carbu","km_diesel","km_essence","mloy_d","nactifs","nbphab","nenfants","npers","ocde10","pondmen","poste_coicop_722","prix_achat","revtot","situapr","stalog","tau","tuu","typmen","veh_tot","vp_deplacements_pro","vp_domicile_travail","rural","petite_ville","moyenne_ville","grande_ville","paris","aides_logement","nb_essence","nb_diesel","niveau_vie","niveau_vie_decile","niveau_vie_quintile","donation_class_1","donation_class_3","distance_autre_carbu","distance_diesel","distance_essence"
"10339",10338,NA,NA,27,111,56,42,NA,9994,NA,NA,NA,0,1,2,1,2,1.3,3079.55520632202,0,NA,11478,4,3,8,7,2,0,NA,NA,0,0,0,1,0,1,0,0,8829.23076923077,1,1,"1_1","1_0_1",NA,NA,NA
"10342",10341,1,10,28,112,85,50,2,9998,0,NA,0,0,1,6,2,4,2.1,1473.97166992043,2392,4500,17344,7,2,8,0,4,2,0,0,1,0,0,0,0,0,0,2,8259.04761904762,1,1,"1_0","1_1_0",0,23000,0
"1",0,3,5,40,111,85,50,0,1,0,NA,0,0,1,6,1,3,1.8,2901.5943338266,520,NA,22071,7,3,8,7,4,1,0,0,0,0,0,1,0,1,0,1,12261.6666666667,2,1,"2_1","2_0_1",0,12000,0
"9",8,11,11,90,300,78,71,0,10007,0,NA,0,0,0,4,0,1,1,3256.20701267666,0,NA,12352,5,4,0,0,1,1,0,0,1,0,0,0,0,0,0,1,12352,2,1,"2_0","2_1_0",0,10000,0
"13",12,NA,NA,60,111,78,71,NA,10011,NA,NA,NA,290,0,4,0,2,1.5,6186.46536322618,0,NA,16390,5,3,6,5,3,0,NA,NA,0,0,1,0,0,0,0,0,10926.6666666667,2,1,"2_0","2_0_0",NA,NA,NA
"62",61,NA,NA,84,111,77,70,NA,10075,NA,NA,NA,0,0,1,0,1,1,2945.32762362828,0,NA,12240,5,3,8,7,1,0,NA,NA,0,0,0,1,0,0,0,0,12240,2,1,"2_0","2_0_0",NA,NA,NA
"90",89,0,12,54,400,69,50,2,10116,0,140,0,0,2,7,1,2,1.5,2441.99699696772,2704,1500,18487,1,1,0,0,2,3,0,1,1,0,0,0,0,0,1,2,12324.6666666667,2,1,"2_0","2_1_0",0,15672,0
"101",100,14,14,49,111,55,50,0,1013,0,0,125,390,1,4,0,1,1,3816.77893641586,1300,NA,11450,1,3,5,4,1,1,0,1,0,0,1,0,0,0,1,0,11450,2,1,"2_0","2_0_0",NA,NA,NA
"144",143,12,17,79,111,78,71,0,1019,0,0,NA,0,0,5,0,2,1.5,3095.75792831917,1560,NA,17168,5,4,8,7,3,2,0,0,0,0,0,1,0,0,2,0,11445.3333333333,2,1,"2_0","2_0_0",NA,NA,NA
"165",164,7,7,38,111,21,12,0,10220,0,0,350,800,2,3,0,2,1.5,3345.82927864057,0,NA,15329,1,3,9,7,3,1,0,1,0,0,0,1,0,0,1,0,10219.3333333333,2,1,"2_0","2_0_0",NA,NA,NA
"169",168,2,7,41,111,37,31,0,10229,0,490,0,0,1,5,2,4,2.1,2898.76736385928,2337,NA,21011,1,2,7,6,4,2,0,0,0,0,1,0,0,0,0,2,10005.2380952381,2,1,"2_0","2_0_0",0,25000,0
"189",188,7,11,41,111,43,50,0,10255,0,80,0,320,2,5,3,5,2.4,2118.56193968136,1040,NA,29860,4,3,8,6,4,1,0,1,0,0,1,0,0,1,0,1,12441.6666666667,2,1,"2_1","2_0_1",0,8000,0
"191",190,NA,NA,69,111,78,70,NA,10258,NA,NA,NA,222,0,3,0,1,1,2529.3446201519,0,NA,11659,5,3,7,5,1,0,NA,NA,0,0,1,0,0,0,0,0,11659,2,1,"2_0","2_0_0",NA,NA,NA
"195",194,5,5,79,112,78,70,0,10263,0,0,NA,0,0,3,0,2,1.5,2654.83692606139,0,NA,18230,5,3,10,0,3,1,0,0,1,0,0,0,0,0,1,0,12153.3333333333,2,1,"2_0","2_1_0",NA,NA,NA
"200",199,6,26,64,112,74,71,0,10269,0,0,NA,523,0,4,0,1,1,3508.40487925289,7811,NA,11030,5,3,8,0,1,2,0,0,1,0,0,0,0,0,2,0,11030,2,1,"2_0","2_1_0",NA,NA,NA
"201",200,2,4,61,112,75,60,0,10270,0,0,0,0,0,5,0,2,1.5,3104.82439917716,1300,NA,18272,5,1,9,3,3,2,0,0,0,1,0,0,0,0,1,1,12181.3333333333,2,1,"2_0","2_0_0",0,20000,0
"209",208,3,3,64,112,78,50,0,10285,0,NA,0,0,0,6,0,2,1.5,3328.64410987955,1300,NA,16550,5,1,7,0,3,1,0,0,1,0,0,0,0,0,0,1,11033.3333333333,2,1,"2_0","2_1_0",0,12000,0
"213",212,7,18,47,111,52,60,0,10289,0,0,NA,3,1,5,2,3,1.8,3147.0474488783,1560,NA,19505,1,3,4,3,2,1,0,0,0,1,0,0,0,1,1,0,10836.1111111111,2,1,"2_1","2_0_1",NA,NA,NA
"227",226,4,16,58,112,77,70,0,10306,0,NA,0,0,0,5,1,3,2,1941.83038314353,1820,NA,21343,5,1,6,0,4,2,0,0,1,0,0,0,0,0,0,2,10671.5,2,1,"2_0","2_1_0",0,14362,0
"228",227,8,13,51,111,67,71,0,1031,0,400,0,0,1,5,2,4,2.1,3718.56684369637,0,NA,22930,1,2,10,8,4,1,0,1,0,0,0,0,1,0,0,1,10919.0476190476,2,1,"2_0","2_0_0",0,3000,0
"232",231,8,21,56,111,64,50,0,10314,0,NA,0,280,2,3,1,3,2,3404.74998908561,0,NA,19510,4,3,9,7,4,1,0,0,0,0,0,1,0,1,0,1,9755,2,1,"2_1","2_0_1",0,1050,0
"235",234,NA,NA,53,400,52,60,NA,10317,NA,NA,NA,49,1,3,0,1,1,3635.57733157797,0,NA,10446,4,3,0,0,1,0,NA,NA,1,0,0,0,0,1,0,0,10446,2,1,"2_1","2_1_1",NA,NA,NA
"237",236,NA,NA,26,111,37,12,NA,1032,NA,NA,NA,800,1,1,0,1,1,4273.39105367857,0,NA,12160,1,3,10,8,1,0,NA,NA,0,0,0,0,1,0,0,0,12160,2,1,"2_0","2_0_0",NA,NA,NA
"247",246,2,10,66,111,22,50,0,10334,0,0,250,0,2,3,0,2,1.5,2722.44661051137,0,NA,17116,1,1,9,7,3,1,0,1,0,0,0,1,0,0,1,0,11410.6666666667,2,1,"2_0","2_0_0",NA,NA,NA
"248",247,15,15,93,400,71,71,0,10335,0,0,NA,0,0,2,0,1,1,3114.98046894821,0,NA,11040,5,4,0,0,1,1,0,0,1,0,0,0,0,0,1,0,11040,2,1,"2_0","2_1_0",NA,NA,NA
"260",259,0,10,62,111,78,70,0,10355,0,NA,0,0,0,4,0,2,1.5,1562.23501635547,0,NA,17220,5,1,9,7,3,1,0,0,0,0,0,1,0,0,0,1,11480,2,1,"2_0","2_0_0",0,10000,0
"261",260,4,16,52,111,63,50,0,10356,0,99999,0,311,3,4,2,4,2.5,3278.71178854036,1040,NA,25815,1,3,8,7,4,1,0,1,0,0,0,1,0,0,0,1,10326,2,1,"2_0","2_0_0",0,15000,0
"297",296,4,11,48,112,37,31,0,1041,0,1000,0,0,1,4,2,3,2,3302.82006205046,3120,NA,19647,1,2,10,4,2,2,1,1,0,0,1,0,0,0,0,2,9823.5,2,1,"2_0","2_0_0",0,15000,0
"300",299,NA,NA,41,111,21,50,NA,10414,NA,NA,NA,0,1,2,0,1,1,3516.12800002167,3120,NA,9760,1,3,10,8,1,0,NA,NA,0,0,0,0,1,1,0,0,9760,2,1,"2_1","2_0_1",NA,NA,NA
"312",311,12,17,45,111,64,50,0,10429,0,200,0,483,2,4,2,4,2.5,1947.38802729421,0,NA,31019,1,3,9,7,4,2,0,1,0,0,0,1,0,0,0,2,12407.6,2,1,"2_0","2_0_0",0,40000,0
"326",325,5,12,43,300,69,71,0,10445,0,NA,0,87,2,5,0,2,1.5,4241.95938003319,2600,NA,15380,4,3,0,0,3,2,0,0,1,0,0,0,0,1,0,2,10253.3333333333,2,1,"2_1","2_1_1",0,14362,0
"337",336,NA,NA,74,111,77,70,NA,1046,NA,NA,NA,266,0,4,0,1,1,1992.19290259912,0,NA,12368,5,3,9,7,1,0,NA,NA,0,0,0,1,0,1,0,0,12368,2,1,"2_1","2_0_1",NA,NA,NA
"342",341,1,13,25,221,52,71,1,10469,0,380,0,0,1,3,0,1,1,3904.47929893823,1742,4200,11874,1,3,1,2,1,1,0,1,0,1,0,0,0,0,0,1,11874,2,1,"2_0","2_0_0",0,30000,25000
