"","X","age_carte_grise","age_vehicule","agepr","cataeu","cs42pr","dip14pr","etat_veh_achat","ident_men","km_autre_carbu","km_diesel","km_essence","mloy_d","nactifs","nbphab","nenfants","npers","ocde10","pondmen","poste_07_2_2_1_1","prix_achat","revtot","situapr","stalog","tau","tuu","typmen","veh_tot","vp_deplacements_pro","vp_domicile_travail","rural","petite_ville","moyenne_ville","grande_ville","paris","aides_logement","nb_essence","nb_diesel","niveau_vie","niveau_vie_decile","niveau_vie_quintile","donation_class_1","donation_class_3","distance","distance_autre_carbu","distance_diesel","distance_essence"
"4580",4579,19,29,76,111,75,50,0,2060,0,0,0,0,0,4,0,2,1.5,2496.95424857,0,0,43505,5,1,7,5,3,1,0,0,0,0,1,0,0,0,1,0,29003.3333333,9,5,"9","9_0",7000,0,0,7000
"4594",4593,18,18,81,112,78,50,0,2077,0,0,0,0,0,4,0,2,1.5,718.793696515,0,0,46942,5,1,10,0,3,1,0,0,1,0,0,0,0,0,0,1,31294.6666667,9,5,"9","9_1",12000,0,12000,0
"4595",4594,7,11,48,111,38,31,0,2078,0,0,0,0,3,6,3,5,2.8,1532.67018806,0,0,104125,1,1,10,8,4,2,0,0,0,0,0,0,1,0,2,0,37187.5,9,5,"9","9_0",12000,0,0,12000
"4613",4612,3,3,45,111,38,41,0,2100,0,20,0,0,1,7,3,5,2.8,1861.21687365,3120,0,89289,1,2,10,8,4,2,0,1,0,0,0,0,1,0,0,2,31888.9285714,9,5,"9","9_0",5000,0,5000,0
"4614",4613,6,6,39,112,34,10,0,2102,0,0,0,0,1,3,0,1,1,1964.06459117,2726,0,32625,1,2,6,0,1,1,1,0,1,0,0,0,0,0,1,0,32625,9,5,"9","9_1",0,0,0,0
"4621",4620,8,14,49,120,46,44,0,2112,0,0,200,0,2,4,0,2,1.5,4154.8593198,3588,0,50634,1,3,0,2,3,2,0,1,0,1,0,0,0,0,2,0,33756,9,5,"9","9_0",6000,0,0,6000
"4641",4640,4,4,74,221,74,50,0,2135,0,0,0,0,0,7,0,2,1.5,2697.46376493,1181,0,51368,5,1,1,2,3,1,0,0,0,1,0,0,0,0,0,1,34245.3333333,9,5,"9","9_0",12000,0,12000,0
"4644",4643,9,9,84,112,86,41,0,2140,0,0,0,0,0,6,0,1,1,2622.21243895,0,0,29818,6,1,6,0,1,1,0,0,1,0,0,0,0,0,1,0,29818,9,5,"9","9_1",5108,0,0,5108
"4645",4644,2,2,48,111,54,41,0,2141,0,800,280,0,3,6,2,4,2.5,1501.98076764,8999,0,86450,1,1,8,7,4,3,0,1,0,0,0,1,0,0,2,1,34580,9,5,"9","9_0",19865,0,18625,1240
"4648",4647,0,0,68,111,74,33,0,2144,0,0,0,0,0,3,0,1,1,3966.62314331,0,0,33676,5,2,10,8,1,0,0,0,0,0,0,0,1,0,0,0,33676,9,5,"9","9_0",0,0,0,0
"4649",4648,21,21,83,111,75,60,0,2146,0,0,0,633,0,1,0,1,1,4489.8796398,0,0,30066,5,3,10,8,1,1,0,0,0,0,0,0,1,0,1,0,30066,9,5,"9","9_0",1000,0,0,1000
