,ident_men,pondmen,agepr,cataeu,chomage,cs42pr,nactifs,nactoccup,npers,ocde10,prest_precarite_hand,prest_precarite_rsa,prest_precarite_vieil,retraites,rev_valeurs_mobilieres_bruts,rev_etranger,rev_disponible,ppa,salaires,stalog,tau,tuu,typmen,donation_class_1
7652,10734,4406.5180386411375,24.0,111,0.0,63,2.0,2.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,27152.4,0.0,28360.0,3,9,7.0,3,2.0
7653,10735,1485.796477224314,43.0,111,0.0,46,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22573.2,0.0,23810.0,2,6,5.0,1,1.0
7654,10736,2214.2836783602124,87.0,300,0.0,86,0.0,0.0,1.0,1.0,0.0,0.0,0.0,14090.0,0.0,0.0,14114.5,0.0,0.0,1,0,1.0,1,0.0
7655,10739,1459.25345543522,42.0,111,0.0,46,3,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,54022.7,0.0,61470.0,2,9,7.0,4,3.0
7656,10740,2600.3752106928528,68.0,400,0.0,77,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7830.0,0.0,0.0,7602.3,0.0,0.0,2,0,0.0,1,0.0
7657,10741,592.0325001384591,47.0,111,0.0,45,1.0,1.0,3.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,27566.0,0.0,26290.0,3,6,5.0,2,1.0
7658,10742,2279.924979162412,60.0,212,0.0,13,2.0,2.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,11514.0,0.0,12090.0,1,2,0.0,3,2.0
7659,10745,1469.3462582780946,57.0,111,0.0,56,1.0,0.0,3.0,1.8,0.0,0.0,0.0,0.0,340.0,12975.0,28205.05,0.0,1480.0,1,8,7.0,4,1.0
7660,10747,1802.4494272951508,67.0,300,0.0,74,0.0,0.0,2.0,1.5,0.0,0.0,0.0,50360.0,0.0,0.0,59476.2,0.0,0.0,1,0,0.0,3,0.0
7661,10748,1962.6729503471217,48.0,112,0.0,43,2.0,2.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,38317.75,0.0,42780.0,2,10,0.0,3,2.0
