,quantite_carbu,quantite_diesel,quantite_essence,diesel_ttc,super_95_ttc,rev_disponible,rural,petite_villes,villes_moyennes,grandes_villes,agglo_paris,nenfants,nadultes,ocde10,situapr,situacj,poste_coicop_411,poste_coicop_412,poste_coicop_421,ln_quantite_carbu,ln_diesel_ttc,ln_super_95_ttc,ln_rev_disponible,loyer
524,1069.02849248,1069.02849248,0.0,0.984925,1.1261,47694.578125,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.79999995232,1.0,1.0,15008.7041016,0.0,0.0,6.97450556407,-0.015189782841,0.118760335721,10.7725730043,15008.7041016
525,7255.49629707,7255.49629707,0.0,0.984925,1.1261,44802.3828125,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.09999990463,1.0,1.0,0.0,0.0,9505.51269531,8.88951457057,-0.015189782841,0.118760335721,10.7100166048,9505.51269531
526,0.0,0.0,0.0,0.984925,1.1261,50379.5703125,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,1.0,1.0,0.0,0.0,8144.30664062,0.0,-0.015189782841,0.118760335721,10.8273410209,8144.30664062
527,0.0,0.0,0.0,0.984925,1.1261,13448.9384766,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,9249.11425781,0.0,-0.015189782841,0.118760335721,9.50665545824,9249.11425781
528,1444.29752637,0.0,1444.29752637,0.984925,1.1261,51258.7226562,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.79999995232,1.0,1.0,0.0,0.0,14343.7353516,7.27537834142,-0.015189782841,0.118760335721,10.8446410807,14343.7353516
529,0.0,0.0,0.0,0.984925,1.1261,16227.2333984,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,7060.34472656,0.0,-0.015189782841,0.118760335721,9.69444618377,7060.34472656
530,0.0,0.0,0.0,0.984925,1.1261,44320.2109375,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,1.0,1.0,0.0,0.0,5840.88769531,0.0,-0.015189782841,0.118760335721,10.6991960808,5840.88769531
531,0.0,0.0,0.0,0.984925,1.1261,36875.6210938,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,1.0,1.0,0.0,0.0,7825.37158203,0.0,-0.015189782841,0.118760335721,10.5153059367,7825.37158203
532,1069.02849248,1069.02849248,0.0,0.984925,1.1261,13096.8828125,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,5.0,5.0,0.0,0.0,4173.25341797,6.97450556407,-0.015189782841,0.118760335721,9.48012952763,4173.25341797
533,0.0,0.0,0.0,0.984925,1.1261,34522.09375,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.29999995232,1.0,1.0,0.0,0.0,11045.9892578,0.0,-0.015189782841,0.118760335721,10.4493547966,11045.9892578
534,1775.28231142,0.0,1775.28231142,0.984925,1.1261,53205.3984375,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.5,5.0,5.0,0.0,0.0,13622.4833984,7.48171473795,-0.015189782841,0.118760335721,10.8819151446,13622.4833984
535,1888.61703266,1888.61703266,0.0,0.984925,1.1261,15947.671875,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,9005.22265625,0.0,0.0,7.54360011146,-0.015189782841,0.118760335721,9.67706813361,9005.22265625
536,0.0,0.0,0.0,0.984925,1.1261,17463.5214844,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,5536.54443359,0.0,-0.015189782841,0.118760335721,9.76786949774,5536.54443359
537,238.610013197,0.0,238.610013197,0.984925,1.1261,26756.2636719,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,6203.59765625,0.0,0.0,5.47483047524,-0.015189782841,0.118760335721,10.1945238809,6203.59765625
