,ident_men,w1,w2,w3,w4,p1,p2,p3,p4,agepr,depenses_par_uc,depenses_tot,dip14pr,elect_only,nactifs,nenfants,situacj,situapr,sourcp,typmen,vag,veh_diesel,veh_essence,prix_carbu_consommateur,year,rural,villes_petites,villes_moyennes,villes_grandes,agglo_paris,proprietaire,accedant,locataire,sous_loc,loge_gratuit,vag_23,vag_24,vag_25,vag_26,vag_27,vag_28
5825,15316,0.0,0.1264551565830464,0.2410641088703066,0.632480734546647,163.68,198.403780445,126.776461486,121.953189242,62.0,16264.0,24396.0,50,0,0.0,0.0,5,5,4,3,23,2.0,1.0,,2011,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5826,15325,0.11536956096288081,0.05571139669906713,0.2185726400939396,0.6103464022441125,173.81684153,189.719530389,128.800913297,114.84888307,61.0,20438.666666666668,30658.0,33,0,2.0,0.0,1,1,4,3,23,0.0,1.0,1.32006990551,2011,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5827,15329,0.14467732687774734,0.021405364082308722,0.23450340829457858,0.5994139007453654,169.971487884,105.795381684,124.957807661,121.094939951,48.0,15697.0,15697.0,30,1,1.0,0.0,0,1,4,1,23,0.0,1.0,1.29086597119,2011,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
5828,15330,0.0,0.16066594979420817,0.10460157959138269,0.7347324706144092,163.68,174.936858989,124.000359801,124.156177391,62.0,53938.0,53938.0,50,0,0.0,0.0,0,5,4,1,23,1.0,0.0,,2011,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5829,15355,0.0,0.06203542259337432,0.029687069835734606,0.9082775075708911,163.68,113.913060666,126.611004637,122.303521596,54.0,14529.333333333334,21794.0,31,0,2.0,0.0,1,1,0,3,23,2.0,0.0,,2011,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5830,15383,0.18885782943455445,0.054337698004021384,0.2361335883478005,0.5206708842136236,163.68,112.051377495,126.060080997,128.358050297,49.0,13594.0,20391.0,60,0,2.0,0.0,1,1,0,3,23,1.0,1.0,,2011,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
5831,15397,0.1117198410140724,0.026855731012998173,0.05505424857664626,0.8063701793962832,150.482802511,133.67,123.138409756,126.457813895,57.0,12412.0,18618.0,41,0,2.0,0.0,4,1,6,3,23,1.0,1.0,1.14285714286,2011,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5832,15408,0.0,0.036668050366680506,0.16625155666251556,0.7970803929708039,163.68,110.987562586,123.465805243,124.88326187,42.0,11118.461946284293,14454.0,43,0,1.0,1.0,0,1,2,2,23,1.0,0.0,,2011,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
5833,15412,0.08256399496433067,0.05324171212757029,0.23478808224926564,0.6294062106588334,152.826876098,105.77,126.169079535,122.953342362,50.0,19064.0,38128.0,31,1,2.0,1.0,4,1,2,4,23,1.0,0.0,1.16065945114,2011,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5834,15415,0.03140548157947715,0.036380892122745964,0.14120962871358317,0.7910039975841937,178.050324771,105.777624537,126.806934827,141.325555919,68.0,23180.666666666668,34771.0,31,1,0.0,0.0,5,5,1,3,23,0.0,2.0,1.35222153001,2011,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
